address,lat,lng,matched_address,updated_at
南投縣中寮鄉和興村永樂路143之2號,23.907057,120.809887,南投縣中寮鄉和興村8鄰永樂路143之12號,2026-09-13
南投縣中寮鄉永平路316號,23.880099,120.764751,南投縣中寮鄉永平村15鄰永平路316號,2026-09-13
南投縣中寮鄉永平路447之12號,23.894863,120.724398,南投縣中寮鄉義和村4鄰永平路447之12號,2026-09-13
南投縣中寮鄉永平路85之3號,23.869392,120.777202,南投縣中寮鄉廣興村11鄰永平路85之3號,2026-09-13
南投縣仁愛鄉春陽村3鄰龍山巷78號,24.027527,121.147454,南投縣仁愛鄉春陽村3鄰龍山巷78號,2026-09-13
南投縣信義鄉新鄉村新鄉路71號,23.640812,120.871167,南投縣信義鄉新鄉村5鄰新鄉路71號,2026-09-13
南投縣南投市三興里嶺興路66號,23.902932,120.666775,南投縣南投市三興里30鄰嶺興路66號,2026-09-13
南投縣南投市中興路156號,23.937411,120.695267,南投縣南投市內興里8鄰中興路156號,2026-09-13
南投縣南投市南崗二路85號,23.908898,120.678923,南投縣南投市三興里23鄰南崗二路85號,2026-09-13
南投縣南投市嶺興路210之3號,23.900771,120.657965,南投縣南投市三興里31鄰嶺興路210之3號,2026-09-13
南投縣南投市嶺興路68號,23.902738,120.666376,南投縣南投市三興里30鄰嶺興路68號,2026-09-13
南投縣南投市振興巷109號,23.908321,120.692832,南投縣南投市振興里19鄰振興巷109號,2026-09-13
南投縣南投市文化路532號,23.913842,120.673878,南投縣南投市漳和里30鄰文化路532號,2026-09-13
南投縣南投市民權街72巷18號,23.910197,120.686983,南投縣南投市仁和里1鄰民權街72巷18號,2026-09-13
南投縣南投市虎山路104號,23.960219,120.685414,南投縣南投市光輝里3鄰虎山路104號,2026-09-13
南投縣名間鄉彰南路220號,23.845071,120.697905,南投縣名間鄉中山村3鄰彰南路220號,2026-09-13
南投縣國姓鄉國姓村民族街40號,24.037587,120.855021,南投縣國姓鄉國姓村3鄰民族街40號,2026-09-13
南投縣國姓鄉國姓路237號,24.042285,120.858529,南投縣國姓鄉石門村8鄰國姓路237號,2026-09-13
南投縣埔里鎮大城里大城路169號,23.972022,120.952697,南投縣埔里鎮大城里13鄰大城路169號,2026-09-13
南投縣埔里鎮樹人三街281號,23.966383,120.977151,南投縣埔里鎮泰安里4鄰樹人三街281號,2026-09-13
南投縣埔里鎮隆生路99號,23.955302,120.965829,南投縣埔里鎮水頭里13鄰隆生路99號,2026-09-13
南投縣彰南路220號,23.845071,120.697905,南投縣名間鄉中山村3鄰彰南路220號,2026-09-13
南投縣水里鄉上安村水信路3段117之1號,23.731646,120.854143,南投縣水里鄉上安村9鄰水信路三段117之1號,2026-09-13
南投縣竹山鎮延正里延正路70號,23.772992,120.697891,南投縣竹山鎮延正里14鄰延正路70號,2026-09-13
南投縣草屯鎮中正路573號,23.980043,120.692170,南投縣草屯鎮富寮里22鄰中正路573號,2026-09-13
南投縣草屯鎮中正路864號,23.984237,120.686344,南投縣草屯鎮玉峰里16鄰中正路864號,2026-09-13
南投縣草屯鎮和興街55號,23.978561,120.684916,南投縣草屯鎮和平里11鄰和興街55號,2026-09-13
南投縣草屯鎮玉屏路210號,23.981281,120.687178,南投縣草屯鎮玉峰里3鄰玉屏路210號,2026-09-13
南投縣草屯鎮省府路407之59號,23.951771,120.672745,南投縣草屯鎮山腳里31鄰省府路407之61號,2026-09-13
南投縣草屯鎮碧山路640號,23.978024,120.674709,南投縣草屯鎮敦和里9鄰碧山路640號,2026-09-13
南投縣草屯鎮立人路781巷51號,23.960788,120.669110,南投縣草屯鎮碧洲里8鄰立人路781巷51號,2026-09-13
南投縣草屯鎮虎山路306號,23.964463,120.686220,南投縣草屯鎮山腳里5鄰虎山路306號,2026-09-13
