address,reason,affected_records
彰化縣員林市林森路396號,無座標,1
彰化縣大城鄉永鎮路12號,無座標,1
彰化縣大城鄉臺西村順應路4號,無座標,1
彰化縣大城鄉西港村永鎮路35號,無座標,1
彰化縣田中鎮大崙里大安路2段318號,無座標,1
彰化縣線西鄉塭仔村塭仔路141號,無座標,1
彰化縣鹿港鎮彰化縣鹿港鎮中正路588號,無座標,1
新北市三重區新北市三重區重陽路1段120巷8號,無座標,1
新北市五股區五股區五權路17號,無座標,1
新竹市光復路2段110號,無座標,1
新竹市東區東大路1段116之1號,無座標,1
新竹市東區金城二路12號,無座標,1
新竹縣竹北巿東興路1段769巷66之1號,無座標,1
新竹縣竹北市縣政10街46號,無座標,1
新竹縣竹北市縣政11街92號,無座標,1
新竹縣竹北市自强南路281號,無座標,1
桃園市桃園區桃園市桃園區南華街60號,無座標,1
桃園市桃園區桃園市桃園區復興路180號,無座標,1
桃園市楊梅區幼獅工業區青年路3號,無座標,1
桃園市楊梅區高平路430號,無座標,1
桃園市蘆竹忠孝西路37號,無座標,1
桃園市龜山區壽山路84巷60弄11之1號,無座標,1
臺中市南區五權南路195號,無座標,1
臺中市南區臺中市南區興大路145號,無座標,1
臺中市大雅區⼤雅區中科路6號,無座標,1
臺中市沙鹿區臺中市沙鹿區四平街62號,無座標,1
臺中市西區臺中市民生路227號,無座標,1
臺中市西屯區臺中市西屯區科園路21號,無座標,1
臺中市豐原區中山路442號,無座標,1
臺北市大安區杭州南路2段2號,無座標,1
臺北市大安區臺北市大安區復興南路1段390號,無座標,1
臺北市文山區景中街29號,無座標,1
臺北市松山區八德路4段748號,無座標,1
臺南市北區臺南市北區西門路4段367號,無座標,1
臺南市南區臺南市南區南門路261號,無座標,1
苗栗縣三義鄉雙潭村106之2號,無座標,1
苗栗縣後龍鎮後龍鎮豐富里新港六路13鄰169號,無座標,1
苗栗縣苑裡鎮南房里南房2鄰14號,無座標,1
苗栗縣苗栗市苗栗縣苗栗市縣府路102號,無座標,1
雲林縣土庫鎮宮北里中山路204號,無座標,1
雲林縣臺西鄉海口村中山路293號,無座標,1
雲林縣褒忠鄉中勝路65之7號,無座標,1
高雄市前鎮區高雄市前鎮區廣東三街73號,無座標,1
高雄市後勁國小【高雄市楠梓區加昌路216號,無座標,1
高雄市林園區林園北路191號,無座標,1
臺南市六甲區民權路43號,無座標,1
南投縣集集?吳厝里民生路63之19號,無座標,1
嘉義縣大林鎮13巷7號,無座標,1
嘉義縣大林鎮明和里甘蔗崙72號,無座標,1
嘉義縣大林鎮蘭州街56號,無座標,1
嘉義縣太保鄉崙子頂21號,無座標,1
嘉義縣新港鄉18鄰71之3號,無座標,1
嘉義縣朴子市大鄉里大?榔956號,無座標,1
嘉義縣水上鄉市政街35號,無座標,1
嘉義縣竹崎鄉19鄰3號,無座標,1
嘉義縣臺灣嘉義縣竹崎鄉中正路96號,無座標,1
基隆市中山區121號,無座標,1
基隆市信義區仁壽里信二路249號,無座標,1
基隆市基龍是東新街3號,無座標,1
基隆市安樂區2段164號,無座標,1
基隆市案樂區2段164號,無座標,1
宜蘭縣五結鄉舊街一路80號,無座標,1
宜蘭縣五結鄉舊街二路88號,無座標,1
宜蘭縣冬山鄉照安2路418巷19號,無座標,1
宜蘭縣員山鄉員山路3段316號,無座標,1
屏東縣恆春鎮恆公路903號,無座標,1
屏東縣恆春鎮恆南路11巷2弄8號,無座標,1
屏東縣恆春鎮恆南路125巷32號,無座標,1
屏東縣新埤鄉打鐵村興東路138號,無座標,1
屏東縣牡丹鄉石門村18號,無座標,1
屏東縣獅子鄉楓林村二巷26號,無座標,1
屏東縣瑪家鄉佳義村泰平巷77之3號,無座標,1
屏東縣里港鄉永豐村永豐路1段1號,無座標,1
屏東縣高樹鄉高樹村建源路25號,無座標,1
彰化縣二林鎮二林鎮溝頭巷51號,無座標,1
彰化縣二水鄉光化村一巷2號,無座標,1
彰化縣伸港鄉六塊寮26號,無座標,1
彰化縣公園路2段301號,無座標,1
彰化縣和美鎮晉北路458號,無座標,1
