tgos_id,key,address,raw,county,source,method,count,courses
1528,嘉義市民生南路363號,嘉義市民生南路363號,嘉義市民生南路363號,嘉義市,moe-cc-sites,門牌,3,0
1529,嘉義市竹文街97巷16號,嘉義市竹文街97巷16號,嘉義市竹文街97巷16號,嘉義市,moe-cc-sites,門牌,1,0
1530,嘉義市臺林街274號,嘉義市臺林街274號,嘉義市台林街274號,嘉義縣,moe-cc-sites,門牌,1,0
1531,嘉義市西區安東二街47號,嘉義市西區安東二街47號,嘉義市西區安東二街47號,嘉義市,moe-cc-sites,門牌,1,0
1532,嘉義市西區育人路613號,嘉義市西區育人路613號,嘉義市西區育人路613號,嘉義市,moe-cc-sites,門牌,1,0
1533,嘉義縣中埔鄉中埔村3鄰中埔11號,嘉義縣中埔鄉中埔村3鄰中埔11號,嘉義縣中埔鄉中埔村3鄰中埔11號之16,嘉義縣,moe-cc-sites,門牌,1,0
1534,嘉義縣中埔鄉同仁村1之10號,嘉義縣中埔鄉同仁村1之10號,嘉義縣中埔鄉同仁村1-10號,嘉義縣,moe-senior-centers,門牌,1,0
1535,嘉義縣中埔鄉金蘭村頂山門6之29號,嘉義縣中埔鄉金蘭村頂山門6之29號,嘉義縣中埔鄉金蘭村頂山門6之29號,嘉義縣,moe-cc-sites,門牌,1,0
1536,嘉義縣中埔鄉隆興村中正路515號,嘉義縣中埔鄉隆興村中正路515號,嘉義縣中埔鄉隆興村中正路515號,嘉義縣,moe-cc-sites,門牌,1,0
1537,嘉義縣大林鎮13巷7號,嘉義縣大林鎮13巷7號,嘉義縣大林鎮13巷7號,嘉義縣,moe-cc-sites,門牌,1,0
1538,嘉義縣大林鎮下潭底24之1號,嘉義縣大林鎮下潭底24之1號,嘉義縣大林鎮下潭底24之1號,嘉義縣,moe-cc-sites,門牌,1,0
1539,嘉義縣大林鎮中山路55之1號,嘉義縣大林鎮中山路55之1號,嘉義縣大林鎮中山路55-1號,嘉義縣,moe-cc-sites,門牌,1,0
1540,嘉義縣大林鎮中興路2段241號,嘉義縣大林鎮中興路2段241號,嘉義縣大林鎮中興路二段241號,嘉義縣,moe-cc-sites,門牌,1,0
1541,嘉義縣大林鎮明和里甘蔗崙72號,嘉義縣大林鎮明和里甘蔗崙72號,嘉義縣大林鎮明和里甘蔗崙72號,嘉義縣,moe-cc-sites,門牌,1,0
1542,嘉義縣大林鎮明華里下埤頭4鄰25號,嘉義縣大林鎮明華里下埤頭4鄰25號,嘉義縣大林鎮明華里下埤頭4鄰25號,嘉義縣,moe-cc-sites,門牌,1,0
1543,嘉義縣大林鎮蘭州街56號,嘉義縣大林鎮蘭州街56號,嘉義縣大林鎮蘭州街56號,嘉義縣,moe-cc-sites,門牌,1,0
